-3, nan, nan, -nan, nan, -nan, nan
-2.994, nan, nan, -nan, nan, -nan, nan
-2.988, nan, nan, -nan, nan, -nan, nan
-2.982, nan, nan, -nan, nan, -nan, nan
-2.976, nan, nan, -nan, nan, -nan, nan
-2.97, nan, nan, -nan, nan, -nan, nan
-2.964, nan, nan, -nan, nan, -nan, nan
-2.958, nan, nan, -nan, nan, -nan, nan
-2.952, nan, nan, -nan, nan, -nan, nan
-2.946, nan, nan, -nan, nan, -nan, nan
-2.94, nan, nan, -nan, nan, -nan, nan
-2.934, nan, nan, -nan, nan, -nan, nan
-2.928, nan, nan, -nan, nan, -nan, nan
-2.922, nan, nan, -nan, nan, -nan, nan
-2.916, nan, nan, -nan, nan, -nan, nan
-2.91, nan, nan, -nan, nan, -nan, nan
-2.904, nan, nan, -nan, nan, -nan, nan
-2.898, nan, nan, -nan, nan, -nan, nan
-2.892, nan, nan, -nan, nan, -nan, nan
-2.886, nan, nan, -nan, nan, -nan, nan
-2.88, nan, nan, -nan, nan, -nan, nan
-2.874, nan, nan, -nan, nan, -nan, nan
-2.868, nan, nan, -nan, nan, -nan, nan
-2.862, nan, nan, -nan, nan, -nan, nan
-2.856, nan, nan, -nan, nan, -nan, nan
-2.85, nan, nan, -nan, nan, -nan, nan
-2.844, nan, nan, -nan, nan, -nan, nan
-2.838, nan, nan, -nan, nan, -nan, nan
-2.832, nan, nan, -nan, nan, -nan, nan
-2.826, nan, nan, -nan, nan, -nan, nan
-2.82, nan, nan, -nan, nan, -nan, nan
-2.814, nan, nan, -nan, nan, -nan, nan
-2.808, nan, nan, -nan, nan, -nan, nan
-2.802, nan, nan, -nan, nan, -nan, nan
-2.796, nan, nan, -nan, nan, -nan, nan
-2.79, nan, nan, -nan, nan, -nan, nan
-2.784, nan, nan, -nan, nan, -nan, nan
-2.778, nan, nan, -nan, nan, -nan, nan
-2.772, nan, nan, -nan, nan, -nan, nan
-2.766, nan, nan, -nan, nan, -nan, nan
-2.76, nan, nan, -nan, nan, -nan, nan
-2.754, nan, nan, -nan, nan, -nan, nan
-2.748, nan, nan, -nan, nan, -nan, nan
-2.742, nan, nan, -nan, nan, -nan, nan
-2.736, nan, nan, -nan, nan, -nan, nan
